IBOV - Carteira do Dia 29/07/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;514.122.351;0,690;0,781;
Telecomunicação;VIVT3;TELEF BRASIL;ON  EJ;408.343.528;0,943;1,571;
Telecomunicação;TIMS3;TIM;ON      NM;807.896.814;0,628;1,571;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.001.799;1,409;1,409;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.868.640.510;0,961;11,005;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.679.233.590;0,811;11,005;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,294;11,005;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.945.040.784;3,563;11,005;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268.733.136;0,548;11,005;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326.265.871;0,693;11,005;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.579.630.820;0,970;11,005;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.236.961;0,543;11,005;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.155.467.134;1,802;11,005;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,353;11,005;
Utilidade Públ / Energ Elétrica;TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,467;11,005;
Quantidade Teórica Total;;;;95.381.185.532;100,000;100,000
Redutor;;;;16.428.464,74960274
